"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
pncb_min_diet_diversity,mother_baby_follow_ups_baby,,yesno,"<span style=""color: orange;""><strong>PNCB-22a</strong></span> Is the infant on Minimum Dietary Diversity",,,,,,,"[pncb_feeding_option] = '5' or [pncb_feeding_option] = '6' or [pncb_feeding_option] = '4' or [pncb_feeding_option] = '3'",y,,,,,
pncb_inf_eat_min_diet,mother_baby_follow_ups_baby,,checkbox,"<span style=""color: orange;""><strong>PNCB-22b</strong></span> Did the child eat from 4 or more of the following food groups yesterday?","1, Grains, roots and tubers | 2, Legumes and nuts | 3, Dairy products | 4, Flesh foods | 5, Eggs | 6, Vitamin A rich fruits and vegetables | 7, Other fruits and vegetables",,,,,,"[pncb_min_diet_diversity] = '1'",y,,,,,
pncb_min_meal_frequency,mother_baby_follow_ups_baby,,yesno,"<span style=""color: orange;""><strong>PNCB-23a</strong></span> Is Infant on Minimum Meal Frequency?",,,,,,,"[pncb_feeding_option] = '5' or [pncb_feeding_option] = '6' or [pncb_feeding_option] = '4' or [pncb_feeding_option] = '3'",y,,,,,
pncb_min_meal_frequency_on,mother_baby_follow_ups_baby,,radio,"<span style=""color: orange;""><strong>PNCB-23b</strong></span> Which Minimum Meal Frequency is the infant on?","1, 2 times for breastfed infants 6-8.9 months | 2, 3 times for breastfed children 9-23.9 months | 3, 4 times for non-breastfed children 6-23.9 months",,,,,,"[pncb_min_meal_frequency] = '1'",y,,,,,
pncb_malnutrition_treated,mother_baby_follow_ups_baby,,radio,"<span style=""color: orange;""><strong>PNC-24</strong></span> Child being treated for malnutrition?","T, Treated | R, Referred | N, Not Treated",,,,,,"[pncb_access] = 'Y'",y,,,,,
pncb_vitamin_a,mother_baby_follow_ups_baby,,radio,"<span style=""color: orange;""><strong>PNCB-25</strong></span> Vitamin A given?","1, Yes | 0, No | 2, Not Applicable","If child is less than 6 months mark as <font color=""red""><i>Not Applicable</i></font>",,,,,"[pncb_access] = 'Y'",y,,,,,
pncb_bcg,mother_baby_follow_ups_baby,,radio,"<span style=""color: orange;""><strong>PNCB-26a</strong></span> Was BCG given?","1, Yes | 0, No | 2, Not Applicable",,,,,,"[pncb_access] = 'Y'",y,,,,,
pncb_not_given,mother_baby_follow_ups_baby,,notes,"<font color=""orange""><b>PNCM-26a(i)</b></font> Why was bcg not given?",,,,,,,"[pncb_bcg] = '0'",y,,,,,
pncb_pentavalent,mother_baby_follow_ups_baby,,radio,"<span style=""color: orange;""><strong>PNCB-26b</strong></span> Was Pentavalent given?","1, Yes | 0, No | 2, Not Applicable",,,,,,"[pncb_access] = 'Y'",y,,,,,
pncb_ipv,mother_baby_follow_ups_baby,,radio,"<span style=""color: orange;""><strong>PNCB-26c</strong></span> Was IPV given?","1, Yes | 0, No | 2, Not Applicable",,,,,,"[pncb_access] = 'Y'",y,,,,,
pncb_opv,mother_baby_follow_ups_baby,,radio,"<span style=""color: orange;""><strong>PNCB-26d</strong></span> Was OPV given?","1, Yes | 0, No | 2, Not Applicable",,,,,,"[pncb_access] = 'Y'",y,,,,,
pncb_pneumococcal,mother_baby_follow_ups_baby,,radio,"<span style=""color: orange;""><strong>PNCB-26e</strong></span> Was Pneumococcal given?","1, Yes | 0, No | 2, Not Applicable",,,,,,"[pncb_access] = 'Y'",y,,,,,
pncb_rotavirus,mother_baby_follow_ups_baby,,radio,"<span style=""color: orange;""><strong>PNCB-26f</strong></span> Was Rotavirus given?","1, Yes | 0, No | 2, Not Applicable",,,,,,"[pncb_access] = 'Y'",y,,,,,
pncb_measles_rubella,mother_baby_follow_ups_baby,,radio,"<span style=""color: orange;""><strong>PNCB-26g</strong></span> Was Measles Rubella given?","1, Yes | 0, No | 2, Not Applicable",,,,,,"[pncb_access] = 'Y'",y,,,,,
pncb_dpt,mother_baby_follow_ups_baby,,radio,"<span style=""color: orange;""><strong>PNCB-26h</strong></span> Was DPT given?","1, Yes | 0, No | 2, Not Applicable",,,,,,"[pncb_access] = 'Y'",y,,,,,
pncb_child_tb_exposed,mother_baby_follow_ups_baby,,radio,"<span style=""color: orange;""><strong>PNCB-27</strong></span> Was child TB Exposed?","1, Yes | 2, No | 3, Unknown",,,,,,"[pncb_access] = 'Y'",y,,,,,
pncb_ipt_given,mother_baby_follow_ups_baby,,radio,"<span style=""color: orange;""><strong>PNCB-28</strong></span> IPT given?","1, Yes | 2, No | 3, Not Applicable",,,,,,"[pncb_child_tb_exposed] = '1'",y,,,,,
pncb_ipt_specify,mother_baby_follow_ups_baby,,text,"<span style=""color: orange;""><strong>PNCB-28a</strong></span> Please specify medicine given",,,,,,,"[pncb_ipt_given] = '1'",,,,,,
pncb_hiv_exposed,mother_baby_follow_ups_baby,,yesno,"<span style=""color: orange;""><strong>PNCB-29a</strong></span> Was child HIV exposed?",,,,,,,"[pncb_access] = 'Y'",y,,,,,
pncb_arv_prophylaxis,mother_baby_follow_ups_baby,,radio,"<span style=""color: orange;""><strong>PNCB-29b</strong></span> Child ARV prophylaxis given ?","1, Yes | 0, No | 2, Not Applicable",,,,,,"[pncb_hiv_exposed] = '1'",y,,,,,
pncb_arv_specify,mother_baby_follow_ups_baby,,text,"<span style=""color: orange;""><strong>PNCB-29c</strong></span> Please specify medicine given",,,,,,,"[pncb_arv_prophylaxis] = '1'",y,,,,,
pncb_hiv_test_done,mother_baby_follow_ups_baby,,yesno,"<span style=""color: orange;""><strong>PNCB-30</strong></span> HIV test done?",,,,,,,"[pncb_access] = 'Y'",y,,,,,
pncb_hiv_test_type,mother_baby_follow_ups_baby,,radio,"<span style=""color: orange;""><strong>PNCB-30a</strong></span> What type of HIV test was done?","1, Virological test | 2, Antibody test",,,,,,"[pncb_hiv_test_done] = '1'",y,,,,,
pncb_result_given_client,mother_baby_follow_ups_baby,,yesno,"<span style=""color: orange;""><strong>PNCB-31</strong></span> Was the HIV results given to client?",,,,,,,"[pncb_hiv_test_type] = '1' or [pncb_hiv_test_type] = '2'",y,,,,,
pncb_cotrimoxazole,mother_baby_follow_ups_baby,,radio,"<span style=""color: orange;""><strong>PNCB-32</strong></span> Was the child supplied with Cotrimoxazole? ","I, Initiated | R, Resupply | NA, Not Applicable",,,,,,"[pncb_result_given_client] = '1' or [pncb_result_given_client] = '0'",y,,,,,
pncb_art_given,mother_baby_follow_ups_baby,,radio,"<span style=""color: orange;""><strong>PNPC-33</strong></span> ART given?","I, Initiated | R, Resupply | NA, Not Applicable",,,,,,"[pncb_cotrimoxazole] = 'I' or [pncb_cotrimoxazole] = 'R' or [pncb_cotrimoxazole] = 'NA'",y,,,,,
pncb_blood_vl,mother_baby_follow_ups_baby,,radio,"<span style=""color: orange;""><strong>PNCB-34</strong></span> Was child's blood drawn for VL?","1, Yes | 0, No | 2, Not Applicable",,,,,,"[pncb_art_given] = 'NA' and [pncb_art_given] = 'R' and [pncb_art_given] = 'I'",y,,,,,
pncb_vl_result,mother_baby_follow_ups_baby,,text,"<span style=""color: orange;""><strong>PNCB-34a</strong></span> What was the VL result?",,,,,,,"[pncb_blood_vl] = '1'",y,,,,,
pncb_infant_follow_ups,mother_baby_follow_ups_baby,,radio,"<span style=""color: orange;""><strong>PNCB-35</strong></span> Infant follow up outcomes","1, Infant HIV negative | 2, Infant HIV positive | 3, In Care | 4, Infant transferred out | 5, Infant lost to follow up | 6, Infant dead",,,,,,"[pncb_access] = 'Y'",y,,,,,
prepr_access,prep_initial_register,,radio,"<span style=""color: green;""><strong>PrePr-S</strong></span> Did the client access this service?","Y, Yes | N, No | UN, Unverified",,,,,,,y,,,,,
prepr_date,prep_initial_register,,text,"<span style=""color: green;""><strong>PrePr-0</strong></span> Enroll Date (Prep)",,,date_ymd,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_transfer_in,prep_initial_register,,yesno,"<span style=""color: green;""><strong>PrePr-1</strong></span> Transfer In",,,,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_screened,prep_initial_register,,yesno,"<span style=""color: green;""><strong>PrEPr-2</strong></span> Was the client screened for PrEP eligibility?",,,,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_screen_outcome,prep_initial_register,,radio,"<span style=""color: green;""><strong>PrEPr-2b</strong></span> What was the screening outcome?","E, Eligible | NE, Not Eligible",,,,,,"[prepr_screened] = '1'",y,,,,,
prepr_clinical_eligible,prep_initial_register,,yesno,"<span style=""color: green;""><strong>PrEPr-3</strong></span> Clinical eligibility?",,,,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_visit_status,prep_initial_register,,radio,"<span style=""color: green;""><strong>PrEPr-4</strong></span> Prep  status at this visit?","N, Newly Initiated on PrEP | C, Continuing PrEP | D, Discontinued Prep",,,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_discontinued_reason,prep_initial_register,,checkbox,"<span style=""color: green;""><strong>PrEPr-5</strong></span> Prep  status at this visit?","1, Change in risk profile | 2, Plans to reinitiate in the future | 3, Mild adverse events | 4, Moderate adverse events | 5, Severe adverse events | 6, Creatinine fail/renal impairment | 7, Partner or parent concerns | 8, Prefers other HIV prevention strategies | 9, Pill burden | 10, Change in location | 11, Fear or periodic HIV retest | 12, Other (Specify)",,,,,,"[prepr_visit_status] = 'D'",y,,,,,
prepr_discontinued_specify,prep_initial_register,,notes,"<span style=""color: green;""><strong>PrEPr-5b</strong></span> Specify why prepr was discontinued?",,,,,,,"[prepr_discontinued_reason(12)] = '1'",y,,,,,
prepr_prep_type,prep_initial_register,,radio,"<span style=""color: green;""><strong>PrEPr-6</strong></span> PrEP type","O, Oral, | R, Ring | I, Injectible",,,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_prep_number,prep_initial_register,,text,"<span style=""color: green;""><strong>PrEPr-7</strong></span> PrEP number",,"format PPDDSS-YYYY-V-#####",,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_age,prep_initial_register,,radio,"<span style=""color: green;""><strong>PrEPr-8</strong></span> Age group at initial visit","1, 10-14 years | 2, 15-19 years | 3, 20-24 years | 4, 25-29 years | 5, 30-34 years | 6, 35-39 years | 7, 40-44 years | 8, 45-49 years | 9, 50-54 years | 10, 55-59 years | 11, 60-64 years | 12, 65+ years",,,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_age_explain,prep_initial_register,,notes,"<span style=""color: green;""><strong>PrEPr-8b</strong></span> Explain if client was a mature minor (Less than 16 years old)",,,,,,,"[prepr_age] = '1' or [prepr_age] = '2'",y,,,,,
prepr_entry_point,prep_initial_register,,radio,"<span style=""color: green;""><strong>PrEPr-9</strong></span> Entry Point","A, Antenatal Clinic | B, General VCT Clinic | C, STI Clinic | D, VMMC | E, InPatient | F, TB",,,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_risk_assessment,prep_initial_register,,radio,"<span style=""color: green;""><strong>PrEPr-10</strong></span> Risk Assessment Conclusion","HR, Client is at high HIV risk | NHR, Client is not at high HIV risk | AcHIV, Suspected Acute HIV infection | PEP, Post Exposure Prophylaxis offered | REQ, Client not HR but requests PrEP | ND, Not done",,,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_creatinine_done,prep_initial_register,,yesno,"<span style=""color: green;""><strong>PrEPr-11a</strong></span> Creatinine Clearance test done?",,,,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_creatinine,prep_initial_register,,radio,"<span style=""color: green;""><strong>PrEPr-11b</strong></span> Creatinine clearance","P, Pass ( greater than 60ml/min) | F, Fail ( less than 60ml/min or known renal impairment)",,,,,,"[prepr_creatinine_done] = '1'",y,,,,,
prepr_sti_screening,prep_initial_register,,yesno,"<span style=""color: green;""><strong>PrEPr-12a</strong></span> STI Screening done?",,,,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_sti_results,prep_initial_register,,radio,"<span style=""color: green;""><strong>PrEPr-12b</strong></span> Record the results (Section C in client form)","NEG, No STI diagnosed | HepB, Positive for Hepatitis B | HepC, Positive for Hepatitis C | Syph, Positive for Syphilis | O, Positive for other STI",,,,,,"[prepr_sti_screening] = '1'",y,,,,,
prepr_other_sti,prep_initial_register,,notes,"<span style=""color: green;""><strong>PrEPr-12c</strong></span> Specify other STIs ",,,,,,,"[prepr_sti_results] = 'O'",y,,,,,
prepr_sti,prep_initial_register,,descriptive,"<span style=""color: red;""><strong>Please complete the STI Register for this patient</strong></span>",,,,,,,"[prepr_sti_results] = 'HepB' or [prepr_sti_results] = 'HepC' or [prepr_sti_results] = 'Syph' or [prepr_sti_results] = 'O' or [prepr_other_sti] = ''",,,,,,
prepr_prep_initiate,prep_initial_register,,yesno,"<span style=""color: green;""><strong>PrEPr-13</strong></span> Does the client agree to Initiate PrEP?",,"section c in client form",,,,,"[prepr_access] = 'Y'",y,,,,,
prepr_first_prep,prep_initial_register,,yesno,"<span style=""color: green;""><strong>PrEPr-14</strong></span> Is this the client's first initiation on PrEP this year?",,,,,,,"[prepr_prep_initiate] = '1'",y,,,,," @HIDDEN"
prepr_prep_initiate_no,prep_initial_register,,notes,"<span style=""color: green;""><strong>PrePr-14b</strong></span> Why does the client reject PrEP Initiation?",,,,,,,"[prepr_prep_initiate] = '0'",y,,,,," @HIDDEN"
prepr_prep_start_date,prep_initial_register,,text,"<span style=""color: green;""><strong>PrEPr-14</strong></span> PrEP start date",,,date_ymd,,,,"[prepr_prep_initiate] = '1'",y,,,,,
prep_access,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-S</strong></span> Did the client access this service?","Y, Yes | N, No | UN, Unverified",,,,,,,y,,,,,
prep_visit_date,prep_follow_ups,,text,"<span style=""color: green;""><strong>PrEP-19a</strong></span> Visit date",,,date_ymd,,,,"[prep_access] = 'Y'",y,,,,,
prep_next_visit_date,prep_follow_ups,,text,"<span style=""color: green;""><strong>PrEP-19b</strong></span> Next visit date",,,date_ymd,,,,"[prep_access] = 'Y'",y,,,,,
prep_hiv_test,prep_follow_ups,,yesno,"<span style=""color: green;""><strong>PrEP-19c</strong></span> HIV test done?",,,,,,,"[prep_access] = 'Y'",y,,,,,
prep_hiv_test_results,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-19c-1</strong></span> What are the results","P, Positive | N, Negative | I, Inconclusive",,,,,,"[prep_hiv_test] = '1'",y,,,,,
prep_hiv_test_nd,prep_follow_ups,,notes,"<span style=""color: green;""><strong>PrePr-19c-2</strong></span> Why was HIV test not done?",,,,,,,"[prep_hiv_test] = '0'",y,,,,,
prep_visit_status,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-19d</strong></span> Visit Status","E, Earlier than appointment | OT, On time | L, Late (less than 2 weeks) | D, Default (greater than 2 weeks but less than 90 days) | P, Previously LTFU ( greater than 90 days)",,,,,,"[prep_access] = 'Y'",y,,,,,
prep_risk_assessment,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-19e</strong></span> Risk Assessment Conclusion","HR, Client is at high HIV risk | NHR, Client is not at high HIV risk | AcHIV, Suspected Acute HIV infection | PEP, Post Exposure Prophylaxis offered | REQ, Client not HR but requests PrEP | ND, Not done",,,,,,"[prep_access] = 'Y'",y,,,,,
prep_prep_type,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-19g</strong></span> Prep Type","O, Oral, | R, Ring | I, Injectible",,,,,,"[prep_access] = 'Y'",y,,,,,
prep_pbreast,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-19h</strong></span> Pregnant/Breast feeding?","P, Pregnant | B, Breast Feeding | NA, Not Applicable",,,,,,"[prep_access] = 'Y'",y,,,,,
prep_follow_up_status,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-19i</strong></span> Prep Follow Up status","Px, Active on PrEP | OO, Client Opted Out | WTH, Clinician decision  to withdraw | TO, Transfer out | TI, Transfer In | SC, Seroconversion | D, Client Died | LTFU, Lost to follow up",,,,,,"[prep_access] = 'Y'",y,,,,,
prep_adverse_events,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-19j</strong></span> Adverse events reported","NON, Non reported | MIL, Mild adverse events | MOD, Moderate adverse events | SAE, Severe adverse events",,,,,,"[prep_access] = 'Y'",y,,,,,
prep_copt_out_date,prep_follow_ups,,text,"<span style=""color: green;""><strong>PrEP-20</strong></span> Date of Client Opt Out",,,date_ymd,,,,"[prep_follow_up_status] = 'OO'",y,,,,,
prep_cwithdrawal_date,prep_follow_ups,,text,"<span style=""color: green;""><strong>PrEP-20</strong></span> Date of Clinical Withdrawal",,,date_ymd,,,,"[prep_follow_up_status] = 'WTH'",y,,,,,
prep_withdrawal_reason,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-22a</strong></span> Reason for Opt-Out, discontinuation or withdrawal","RP, Change in risk profile | REF, Plans to re-initiate in the future | MIL, Mild adverse events | MOD, Moderate adverse events | SAE, Severe adverse events | CRCL, Creatinine fail/renal impairment | PAR, Partner or parent concerns | OPREV, Prefers other HIV prevention strategies | PD, Pill Burden | CIL, Change in Location | FPHR, Fear of periodic HIV re-test | O, Other",,,,,,"[prep_follow_up_status] = 'OO' or [prep_follow_up_status] = 'WTH' or [prep_follow_up_status] = 'TO' or [prep_follow_up_status] = 'LTFU'",y,,,,,
prep_with_other,prep_follow_ups,,text,"<span style=""color: green;""><strong>PrEP-22b</strong></span> Other Specify",,,,,,,"[prep_withdrawal_reason] = 'O'",y,,,,,
prep_client_outcome,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-23</strong></span> Client outcome","1, Switching from oral to injectable | 2, Switching from injectable to oral | 3, Discontinued | 4, Transferred out",,,,,,"[prep_access] = 'Y'",y,,,,,
prep_service_provider,prep_follow_ups,,radio,"<span style=""color: green;""><strong>PrEP-24</strong></span> Service Provider","1, Provider | 2, Nurse | 3, Midwife",,,,,,"[prep_access] = 'Y'",y,,,,,
prep_comments,prep_follow_ups,,notes,"<span style=""color: green;""><strong>PrEP-25</strong></span> Comments",,,,,,,"[prep_access] = 'Y'",,,,,,
mh_access,mental_health,,radio,"<span style=""color: purple;""><strong>MH-S</strong></span> Did the client access this service?","Y, Yes | N, No | UN, Unverified",,,,,,,y,,,,,
mh_screening_tools,mental_health,,yesno,"<span style=""color: purple;""><strong>MH-0</strong></span> Does client have/undergo any Mental Health Screening Tools?",,,,,,,"[mh_access] = 'Y'",y,,,,,
mh_screening_results,mental_health,,radio,"<span style=""color: purple;""><strong>MH-1</strong></span> What was the screening result?","P, Positive | N, Negative | NA, Not Applicable",,,,,,"[mh_screening_tools] = '1'",y,,,,,
mh_management_outcome,mental_health,,radio,"<span style=""color: purple;""><strong>MH-2</strong></span> Management outcome?","R, Referred | M, Managed | B, Both referred and managed, | N, Not Applicable",,,,,,"[mh_screening_tools] = '1'",y,,,,,
mh_substance_identified,mental_health,,yesno,"<span style=""color: purple;""><strong>MH-3</strong></span> Was substance use identified?",,,,,,,"[mh_screening_tools] = '1'",y,,,,,
mh_substance_used,mental_health,,checkbox,"<span style=""color: purple;""><strong>MH-4</strong></span> Substance used?","1, Benzodiazepines | 2, Opioids | 3, Alcohol | 4, Crystal Meth | 5, Cannabis | 6, Cocaine | 7, Homemade | 8, Other (Specify)",,,,,,"[mh_substance_identified] = '1'",y,,,,,
mh_substance_oth,mental_health,,notes,"<span style=""color: purple;""><strong>MH-4a</strong></span>Specify other substances.",,,,,,,"[mh_substance_used(8)] = '1'",y,,,,,
mh_pnq,mental_health,,radio,"<span style=""color: purple;""><strong>MH-5</strong></span> PNQ Score","A, 2 Points | B, 3-4 Points | C, 5-6 Points | D, 7-8 points | E, 9-10 points",,,,,,"[mh_screening_tools] = '1'",,,,,,
mh_ssq,mental_health,,radio,"<span style=""color: purple;""><strong>MH-6</strong></span> SSQ Score","0, None | 1, Slight | 2, Moderate | 3, Severe",,,,,,"[mh_screening_tools] = '1'",,,,,,
mh_substance_use,mental_health,,text,"<span style=""color: purple;""><strong>MH-7</strong></span> Substance use",,,,,,,"[mh_screening_tools] = '1'",,,,,," @HIDDEN"
he_access,health_education,,radio,"<span style=""color: blue;""><strong>HE-S</strong></span> Did the client access this service?","Y, Yes | N, No | UN, Unverified",,,,,,,y,,,,,
he_receive,health_education,,yesno,"<span style=""color: blue;""><strong>HE-1</strong></span> Did the client receive health education?",,,,,,,"[he_access] = 'Y'",y,,,,,
he_receive_from,health_education,,checkbox,"<span style=""color: blue;""><strong>HE-2</strong></span> From whom did they receive it?","1, Peer | 2, Adolescent nurse | 3, VHW | 4, other HCW | 5, Digital Health Hub App",,,,,,"[he_receive] = '1'",y,,,,,
he_topics,health_education,,checkbox,"<span style=""color: blue;""><strong>HE-3</strong></span>  Which topics were discussed?","1, STI | 2, HIV | 3, PREP | 4, Contraception | 5, Menstrual Health | 6, ANC | 7, PNC | 8, Depression | 9, Anxiety | 10, Substance use | 11, Other",,,,,,"[he_receive_from(1)] = '1' or [he_receive_from(2)] = '1' or [he_receive_from(3)] = '1' or [he_receive_from(4)] = '1' or [he_receive_from(5)] = '1'",y,,,,,
hp_topics_other,health_education,,text,"<span style=""color: blue;""><strong>HE-3a</strong></span> Specify on other",,,,,,,"[he_topics(11)] = '1'",y,,,,,
couns_access,counselling,,radio,"<span style=""color: red;""><strong>C-S</strong></span> Did the client access this service?","Y, Yes | N, No | UN, Unverified",,,,,,,y,,,,,
couns_receive,counselling,,yesno,"<span style=""color: red;""><strong>C-3</strong></span> Did client receive any counseling?",,,,,,,"[couns_access] = 'Y'",y,,,,,
counc_who,counselling,,checkbox,"<span style=""color: red;""><strong>C-2</strong></span> Who did the counseling on the client? Select all necessary.","1, Peer | 2, Adolescent Nurse | 3, Counselor | 4, VHW, | 5, Other HCW",,,,,,"[couns_receive] = '1'",y,,,,,
pls_access,peer_support_register,,radio,"<font color=""red""><b>PS-S</b></font> Did the client access this service?","Y, Yes | N, No | UN, Unverified",,,,,,,y,,,,,
pls_session_conducted,peer_support_register,,yesno,"<font color=""red""><b>PS-0</b></font> Was a peer-led session conducted?",,,,,,,"[pls_access] = 'Y'",y,,,,,
pls_date,peer_support_register,,text,"<font color=""red""><b>PS-1</b></font>  Peer-Led support session date.",,,date_ymd,,,,"[pls_session_conducted] = '1'",y,,,,,
pls_number,peer_support_register,,text,"<font color=""red""><b>PS-3</b></font>  Number of Peer-Led Sessions conducted: ",,,integer,0,,,"[pls_session_conducted] = '1'",y,,,,,
pls_ado_number,peer_support_register,,text,"<font color=""red""><b>PS-4</b></font>  Number of adolescents reached through peer activities: ",,,integer,0,,,"[pls_session_conducted] = '1'",y,,,,,
pls_support_conducted,peer_support_register,,yesno,"<font color=""red""><b>PS-5</b></font> Was a support group conducted?",,,,,,,"[pls_access] = 'Y'",y,,,,,
hts_access,hiv_testing_services_hts_register,,radio,"<font color=""purple""><b>HTS-S</b></font> Did the client access this service?","Y, Yes | N, No | UN, Unverified",,,,,,,y,,,,,
hts_tested,hiv_testing_services_hts_register,,yesno,"<font color=""purple""><b>HTS-0</b></font> Was the client tested for HIV?",,,,,,,"[hts_access] = 'Y'",y,,,,,
hts_hiv_date,hiv_testing_services_hts_register,,text,"<font color=""purple""><b>HTS-1</b></font> HIV Test date?",,,date_ymd,,,,"[hts_tested] = '1'",y,,,,,
hts_hiv_result,hiv_testing_services_hts_register,,radio,"<font color=""purple""><b>HTS-2</b></font>  HIV Test Result","P, Positive | N, Negative",,,,,,"[hts_tested] = '1'",y,,,,,
hts_art_init,hiv_testing_services_hts_register,,radio,"<font color=""purple""><b>HTS-3</b></font>  Was the client initiated on ART?","Y, Yes | N, No | NA, Not  Applicable",,,,,,"[hts_access] = 'Y'",y,,,,,
